vlm_class,vlm_params,dataset,R@1 (of 82),R@5 (of 82),R@10 (of 82),R@20 (of 82),R@50 (of 82),Mean R,Med R,Ranked Text Indices,Vid-Text Choice Ranks,Correct Vid-Text Pair Ranks,Vid-Text Pairs (Easy->Hard)
VideoClipVLM,"{'path': 'video_clip/MMPT_updated/projects/retri/videoclip/how2.yaml', 'num_seconds': 7, 'sample_strat': 'center'}",500p,2,6,11,23,53,38.0,40.5,"[[57 68 60 ... 21 46 17]
 [57 39 60 ... 21 46 17]
 [57 39 60 ... 21 46 17]
 ...
 [57 11 68 ... 55 12 17]
 [57 68 60 ... 55 12 17]
 [57 60  0 ... 54 55 17]]","[[ 5 43 14 ... 52 38 34]
 [ 4 42 14 ... 43 26 25]
 [ 4 46 12 ... 54 42 37]
 ...
 [ 5 34 12 ... 39 30 28]
 [ 5 31 15 ... 39 32 30]
 [ 2 33 21 ... 32 29 27]]","[ 5 42 12 19  9 70 61 56 38 30 27  5 64 53 21 13 42 81 32 11 59 78 24 22
  8 40 52 15 64 31 51 44 46 54 11 34 40 56  5 17 33 12 51 64 61 55 78 57
 53 71 45 44 47 55 55 57 64  0  3 19  0 47  2 14 38 13 54 51  1 31 52 66
 35 41 49  3 14 27 32 39 32 27]","[57 60 68 62 58 75  0 38 11 24  4 19 34 41  2 15 65 76 63 27 39  3 59 14
 23 22 77 81 10  9 29 69 78 80 18 40 35 72 64  8 79 25 36 73  1 16 31 51
 50 32 52 61 74 30 67 42 26 70 48 13 66 33 54 45 53 37  7 55 47 20  6 44
 43 28 56 12 71  5 49 46 21 17]"
VideoClipVLM,"{'path': 'video_clip/MMPT_updated/projects/retri/videoclip/how2.yaml', 'num_seconds': 7, 'sample_strat': 'start'}",500p,2,7,11,21,50,39.58536585365854,43.0,"[[57 60 68 ... 21 46 17]
 [57 68 60 ... 21 46 17]
 [57 39 68 ... 21 46 17]
 ...
 [57 60 68 ... 12 54 17]
 [57 11 68 ... 55 12 17]
 [57 60 68 ... 55 54 17]]","[[ 4 47 15 ... 51 39 34]
 [ 4 43 14 ... 48 36 29]
 [ 4 46 11 ... 53 40 35]
 ...
 [ 5 34 15 ... 40 32 29]
 [ 5 33 14 ... 45 32 30]
 [ 5 32 23 ... 37 30 29]]","[ 4 43 11 24  9 69 59 56 48 34 27  6 73 61 18 11 41 81 34 11 57 78 23 21
  8 43 52 11 65 32 48 47 46 57 11 30 38 63  5 17 33 18 51 74 58 55 78 54
 58 72 48 44 54 52 55 58 64  0  4 12  0 54  3 23 40 12 59 52  2 29 51 70
 51 46 62  4 23 38 30 40 32 29]","[60 57 68 62 58  0 75 38 11 24  4 27 19  2 34 15 59 65 39 41 14 23 76 22
 63  3 10 69 81 78 35 29 80 40 18  9 36 77 64 79 16 25  1 51 73 32 31 30
  8 50 42 72 70 67 26 53 61 52 47 45 54  7 20 33 44 55 48 66  6 13 74 37
 56 28  5 71 49 12 43 46 21 17]"
VideoClipVLM,"{'path': 'video_clip/MMPT_updated/projects/retri/videoclip/how2.yaml', 'num_seconds': 7, 'sample_strat': 'spread'}",500p,2,7,12,22,52,39.207317073170735,41.5,"[[57 68 60 ... 71 46 17]
 [57 39 60 ... 21 46 17]
 [57 39 68 ... 21 46 17]
 ...
 [57 60 68 ... 12 54 17]
 [57 11 68 ... 55 12 17]
 [57 60 68 ... 54 55 17]]","[[ 4 45 13 ... 53 39 35]
 [ 4 43 13 ... 47 36 28]
 [ 4 45 12 ... 53 38 36]
 ...
 [ 5 35 15 ... 40 32 30]
 [ 5 32 15 ... 39 31 30]
 [ 4 33 20 ... 37 32 27]]","[ 4 43 12 24  8 68 61 56 45 31 29  5 73 60 27 12 39 81 33 11 58 78 22 19
  7 40 52 16 65 33 44 46 50 55  8 44 39 65  6 18 33 16 52 70 62 55 78 52
 57 72 49 44 51 53 56 61 64  0  2 20  0 49  2 11 44 12 64 53  1 23 41 68
 45 40 60  3 19 37 29 40 31 27]","[60 57 68 58 62 75  0 11 38 24  4 34 63 19 65  2 15 27 41 39 23 76 59 22
 69  3 81 14 78 10  9 80 40 29 18 77 36 16 79 73 25 70  1 51 30 35 64  8
 72 31 61 50 32 52 26 47 42 53 67 45 33  7 54 48 20 13 74  6 55 44 66 56
 28 37 71  5 43 49 12 21 46 17]"
VideoClipVLM,"{'path': 'video_clip/MMPT_updated/projects/retri/videoclip/how2.yaml', 'num_seconds': 8, 'sample_strat': 'center'}",500p,2,8,12,23,52,38.54878048780488,42.0,"[[57 60 68 ... 71 46 17]
 [57 68 39 ... 21 46 17]
 [57 39 68 ... 71 46 17]
 ...
 [57 68 11 ... 55 12 17]
 [57 68 60 ... 55 12 17]
 [57 60  0 ... 54 55 17]]","[[ 4 46 13 ... 53 40 34]
 [ 4 43 13 ... 49 36 30]
 [ 4 46 11 ... 53 40 36]
 ...
 [ 5 33 13 ... 40 30 29]
 [ 5 32 14 ... 40 33 30]
 [ 2 33 21 ... 32 29 27]]","[ 4 43 11 19  8 67 55 58 41 33 27  6 73 57 14 11 40 81 34 10 58 78 23 22
  7 41 52 17 66 28 48 42 45 54  8 33 39 57  4 18 33 17 53 70 64 56 78 55
 57 72 47 44 54 53 54 59 64  0  4 14  0 51  2 19 41 10 60 52  1 26 45 67
 42 41 55  3 22 32 30 40 33 27]","[57 60 68 62 75  0 38 58 11 24  4 34 19 65  2 15 59 14 41 27 39 63  3 23
 76 22 69 81 10 29 78 77 40  9 80 35 18 36 16 79  8 64 73 25 31 72  1 51
 70 32 50 30 61 26 67 53 42 54 33 52  6 47 74 45 13 37 48 20  7 55 66 44
 56 28  5 71 43 49 12 46 21 17]"
VideoClipVLM,"{'path': 'video_clip/MMPT_updated/projects/retri/videoclip/how2.yaml', 'num_seconds': 8, 'sample_strat': 'start'}",500p,2,7,11,21,51,39.41463414634146,42.5,"[[57 60 68 ... 71 46 17]
 [57 60 68 ... 21 46 17]
 [57 39 68 ... 21 46 17]
 ...
 [57 60 68 ... 55 12 17]
 [57 11 68 ... 55 12 17]
 [57 60 68 ... 55 54 17]]","[[ 4 46 14 ... 53 39 34]
 [ 4 43 14 ... 47 36 27]
 [ 3 46 11 ... 55 40 36]
 ...
 [ 5 34 15 ... 39 32 29]
 [ 5 33 14 ... 44 32 29]
 [ 5 32 23 ... 37 30 29]]","[ 4 43 11 23  9 69 62 56 48 33 29  6 73 61 17 11 40 81 34 11 58 78 23 22
  8 43 52 12 66 29 45 47 47 54 10 32 38 63  5 18 33 18 51 73 61 55 78 53
 58 72 48 44 57 52 55 58 64  0  4 11  0 54  3 22 40 12 60 53  2 27 46 66
 50 43 63  3 23 37 30 39 32 29]","[57 60 68 75 62  0 58 38 11 24  4 34 19 15 59  2 65 27 14 41 39 63 23  3
 22 76 69 29 81 10 78 80 35  9 40 18 77 36 79 64 16  1 25 73 51 30 70 32
 31  8 50 72 42 26 53 67 47 33 61 45 54  7 52 55 20 48 66 44 13  6 74 37
 56 28 71  5 49 12 43 46 21 17]"
VideoClipVLM,"{'path': 'video_clip/MMPT_updated/projects/retri/videoclip/how2.yaml', 'num_seconds': 8, 'sample_strat': 'spread'}",500p,2,7,12,21,51,39.30487804878049,43.0,"[[57 60 68 ... 71 46 17]
 [57 39 68 ... 21 46 17]
 [57 68 39 ... 71 46 17]
 ...
 [57 60 68 ... 54 12 17]
 [57 68 60 ... 55 12 17]
 [57 60 68 ... 54 55 17]]","[[ 4 45 14 ... 53 39 34]
 [ 4 42 14 ... 48 36 30]
 [ 4 49 10 ... 56 43 36]
 ...
 [ 5 35 15 ... 39 32 29]
 [ 5 31 15 ... 39 32 30]
 [ 4 33 20 ... 37 32 27]]","[ 4 42 10 25  7 67 63 58 48 32 27  5 75 62 23 11 42 81 33 11 61 78 23 22
  8 42 52 16 68 30 43 37 45 54  9 45 39 62  5 17 33 18 51 70 61 55 78 54
 57 71 50 44 51 54 55 57 64  0  4 16  0 51  2 13 43 11 63 52  1 31 43 68
 45 42 60  3 22 36 32 39 32 27]","[57 60 68 62 75 58  0 38 11  4 24 34  2 65 15 19 63 59 27 39 41 76 23 14
 22  3 81 10 29 69 78  9 80 40 18 77 31 79 36  1 73 16 25 70 64 30 51 32
 72 35  8 50 42 52 61 26 67 47 53 33 54 45 48 55  7 74 44 20 37 13 66  6
 56  5 71 28 43 49 12 21 46 17]"
VideoClipVLM,"{'path': 'video_clip/MMPT_updated/projects/retri/videoclip/how2.yaml', 'num_seconds': 9, 'sample_strat': 'center'}",500p,2,6,11,22,54,38.59756097560975,41.0,"[[57 60 68 ... 21 46 17]
 [57 39 60 ... 21 46 17]
 [57 39  0 ... 71 46 17]
 ...
 [57 60 68 ... 55 12 17]
 [57 68 11 ... 55 12 17]
 [57 60  0 ... 54 55 17]]","[[ 5 44 14 ... 51 36 33]
 [ 4 43 13 ... 47 30 26]
 [ 2 46 11 ... 54 41 36]
 ...
 [ 5 35 13 ... 39 29 28]
 [ 5 32 14 ... 38 31 29]
 [ 2 33 21 ... 32 29 27]]","[ 5 43 11 20  7 70 63 56 39 29 27  5 73 56 27 12 43 81 34 10 60 77 23 23
  8 41 52 18 64 34 48 40 44 55 11 37 39 59  5 18 33 18 53 70 62 56 78 54
 57 71 49 44 48 54 53 56 64  0  3 19  0 45  2 16 41 10 53 52  1 23 47 66
 40 41 63  3 14 28 32 39 31 27]","[60 57 68 62 58 75 38 11  0  4 24 19 65 34  2 15 76 63 41 39 27 59  3 69
 22 23 81 14 10 77  9 80 78 40 18 29 35 36  8 79 72 31 64 73 25  1 16 32
 51 61 70 30 52 50 26 67 54 66 42 47 53 33  7 45 13 55 48 37 20 44  6 74
 56 28 71 43  5 49 12 21 46 17]"
VideoClipVLM,"{'path': 'video_clip/MMPT_updated/projects/retri/videoclip/how2.yaml', 'num_seconds': 9, 'sample_strat': 'start'}",500p,2,7,13,20,52,39.15853658536585,41.5,"[[57 60 68 ... 71 46 17]
 [57 60 68 ... 21 46 17]
 [57 39 68 ... 71 46 17]
 ...
 [57 60 68 ... 55 12 17]
 [57 68 11 ... 55 12 17]
 [57 60 68 ... 55 54 17]]","[[ 4 46 13 ... 53 40 33]
 [ 4 43 14 ... 47 36 27]
 [ 4 45 11 ... 55 40 36]
 ...
 [ 5 34 15 ... 40 32 29]
 [ 5 31 14 ... 40 32 29]
 [ 5 32 23 ... 37 30 29]]","[ 4 43 11 22  9 68 62 58 44 32 28  6 74 62 20 12 40 81 34 10 58 78 23 22
  7 42 52 18 66 26 44 44 45 52  8 33 38 62  5 18 33 18 53 73 64 55 78 53
 58 72 49 44 55 53 51 60 64  0  4 12  0 53  2 21 41  9 62 53  1 28 39 68
 45 42 63  3 21 37 30 40 32 29]","[57 60 68 62 75  0 58 38 11 24 34  4 65 19  2 15 59 27 41 39 14 63 76 23
  3 22 29 69 10 81 78  9 80 40 35 18 77 36 70 79 16 64 25 73  1  8 51 30
 31 32 72 50 54 33 26 42 53 67 61 47 52 45  7 20 48 55  6 37 66 13 74 44
 56 28 71  5 49 43 12 21 46 17]"
VideoClipVLM,"{'path': 'video_clip/MMPT_updated/projects/retri/videoclip/how2.yaml', 'num_seconds': 9, 'sample_strat': 'spread'}",500p,2,7,11,22,51,39.109756097560975,41.0,"[[57 39 60 ... 71 46 17]
 [57 39 68 ... 21 46 17]
 [57 39 68 ... 71 46 17]
 ...
 [57 60 68 ... 54 12 17]
 [57 68 60 ... 55 12 17]
 [57 60 68 ... 54 55 17]]","[[ 4 45 13 ... 53 39 35]
 [ 4 45 12 ... 49 36 30]
 [ 4 46 11 ... 56 42 36]
 ...
 [ 5 34 15 ... 39 30 29]
 [ 5 31 15 ... 38 33 30]
 [ 4 33 20 ... 37 32 27]]","[ 4 45 11 25  7 73 61 56 40 30 28  5 75 60 27 12 40 81 31 12 59 78 23 20
  9 42 52 18 65 26 53 43 46 55 10 38 38 57  7 19 33 18 52 70 58 56 78 54
 57 70 54 44 50 54 54 59 64  0  4 12  0 47  2 12 41 12 62 53  2 28 47 68
 43 40 63  3 16 37 28 39 33 27]","[60 57 68 62 75  0 58 11  4 38 24 34  2 19 15 59 65 63 76 41 27 39 23 22
  3 29 81 14 78 69 10  9 18 40 80 77 35 36 79 73  8 16 64 25 31 72 51  1
 32 61 70 52 42 26 67 30 54 53 47 50 33 45  7 37 48 44 20 55 13  6 66 74
 56 28 71 49 43  5 12 46 21 17]"
VideoClipVLM,"{'path': 'video_clip/MMPT_updated/projects/retri/videoclip/how2.yaml', 'num_seconds': 10, 'sample_strat': 'center'}",500p,2,6,14,21,51,39.09756097560975,41.0,"[[57 60 68 ... 71 46 17]
 [57 68 39 ... 21 46 17]
 [57 39 68 ... 71 46 17]
 ...
 [57 60 68 ... 55 12 17]
 [57 68 11 ... 55 12 17]
 [57 60  0 ... 54 55 17]]","[[ 4 45 13 ... 53 39 33]
 [ 4 44 12 ... 49 36 30]
 [ 4 47  9 ... 56 43 36]
 ...
 [ 5 34 14 ... 40 32 30]
 [ 5 31 14 ... 38 32 30]
 [ 2 33 21 ... 32 29 27]]","[ 4 44  9 25  7 66 62 59 44 31 29  6 74 62 22 11 40 81 34 11 58 78 22 23
  6 42 52 18 68 27 44 43 47 53  9 35 35 63  5 17 33 19 53 72 68 55 78 54
 58 71 50 44 53 53 51 60 64  0  5 13  0 53  2 20 41  8 62 53  1 27 36 68
 44 40 62  3 17 37 31 40 32 27]","[60 57 68 62 75  0 38 58 24 11  4 65 34  2 19 15 59 39 76 27 41 63 22 14
 23  3 29 69 81 10  9 78 80 40 18 35 36 70 77 16 73 79 64 25 31 30 72 51
  1  8 32 50 54 26 52 33 42 53 61 67 47 45 48 20  7 55 66  6 13 74 37 56
  5 28 44 71 49 43 12 21 46 17]"
VideoClipVLM,"{'path': 'video_clip/MMPT_updated/projects/retri/videoclip/how2.yaml', 'num_seconds': 10, 'sample_strat': 'start'}",500p,2,6,14,21,51,39.1219512195122,41.0,"[[57 60 68 ... 71 46 17]
 [57 68 39 ... 21 46 17]
 [57 39 68 ... 71 46 17]
 ...
 [57 60 68 ... 55 12 17]
 [57 68 11 ... 55 12 17]
 [57 60 68 ... 55 54 17]]","[[ 4 45 13 ... 53 39 33]
 [ 4 44 12 ... 49 36 30]
 [ 4 47  9 ... 56 43 36]
 ...
 [ 5 34 14 ... 40 32 30]
 [ 5 31 14 ... 38 32 30]
 [ 5 32 23 ... 37 30 29]]","[ 4 44  9 25  7 66 62 59 44 31 29  6 74 62 22 11 40 81 34 11 58 78 22 23
  6 42 52 18 68 27 44 43 47 53  9 35 35 63  5 17 33 19 53 72 68 55 78 54
 58 71 50 44 53 53 51 60 64  0  5 13  0 53  2 20 41  8 62 53  1 27 36 68
 44 40 62  3 17 37 31 40 32 29]","[60 57 68 62 75  0 38 58 24 11  4 65 34  2 19 15 59 39 76 27 41 63 22 14
 23  3 29 69 81 10  9 78 80 40 18 35 36 70 77 16 73 79 64 25 31 30 72 51
  1  8 32 50 54 26 52 33 42 53 61 67 47 45 48 20  7 55 66  6 13 74 37 56
  5 28 44 71 49 43 12 21 46 17]"
VideoClipVLM,"{'path': 'video_clip/MMPT_updated/projects/retri/videoclip/how2.yaml', 'num_seconds': 10, 'sample_strat': 'spread'}",500p,2,6,14,21,51,39.09756097560975,41.0,"[[57 60 68 ... 71 46 17]
 [57 68 39 ... 21 46 17]
 [57 39 68 ... 71 46 17]
 ...
 [57 60 68 ... 55 12 17]
 [57 68 11 ... 55 12 17]
 [57 60 68 ... 54 55 17]]","[[ 4 45 13 ... 53 39 33]
 [ 4 44 12 ... 49 36 30]
 [ 4 47  9 ... 56 43 36]
 ...
 [ 5 34 14 ... 40 32 30]
 [ 5 31 14 ... 38 32 30]
 [ 4 33 20 ... 37 32 27]]","[ 4 44  9 25  7 66 62 59 44 31 29  6 74 62 22 11 40 81 34 11 58 78 22 23
  6 42 52 18 68 27 44 43 47 53  9 35 35 63  5 17 33 19 53 72 68 55 78 54
 58 71 50 44 53 53 51 60 64  0  5 13  0 53  2 20 41  8 62 53  1 27 36 68
 44 40 62  3 17 37 31 40 32 27]","[60 57 68 62 75  0 38 58 24 11  4 65 34  2 19 15 59 39 76 27 41 63 22 14
 23  3 29 69 81 10  9 78 80 40 18 35 36 70 77 16 73 79 64 25 31 30 72 51
  1  8 32 50 54 26 52 33 42 53 61 67 47 45 48 20  7 55 66  6 13 74 37 56
  5 28 44 71 49 43 12 21 46 17]"
ClipVLM,"{'path': 'openai/clip-vit-base-patch32', 'num_frames': 1, 'sample_strat': 'uniform'}",500p,1,5,10,17,53,40.18292682926829,39.5,"[[ 4 69 68 ... 40 46 43]
 [69  4 68 ... 40 43 46]
 [69 68  4 ... 40 46 43]
 ...
 [57 59 69 ... 43 46 40]
 [57 69 68 ... 43 46 40]
 [57 59 69 ... 43 40 46]]","[[17 46 12 ... 63 58 50]
 [17 48 10 ... 60 56 47]
 [17 45 12 ... 60 57 49]
 ...
 [21 51 14 ... 66 60 38]
 [18 52 15 ... 66 59 38]
 [22 52 13 ... 76 63 42]]","[17 48 12 21  3 15 77  9  5 22 41 23 55 64 30 35  5 59 40 20 37 58 35 42
 18 33 73 15 24 24 31 73 67 67 12 66 63 69 33 24 73 24 37 80 78 23 81 42
 25 60 73 65 24 21 61 49 41  7 47 22  3 22 16 42 68 34 57 59  0  1 23 61
 55  4 53 49  8 42 51 66 59 42]","[68 69 60  4 73  8 16 57 76  7  2 34  5 27 62  0 24 19 53  3 59  9 61 70
 11 45 39 41 52 28 29 48 14 30 38 25 65 22 15 20 42 18 56 10 77 63 47 81
 23 58  1 75 55 78 74 72 12 66 21 80 67 17 49 54 71 36 13 51 35 79 33 32
 64 37 40 26 31 50  6 44 43 46]"
ClipVLM,"{'path': 'openai/clip-vit-base-patch32', 'num_frames': 2, 'sample_strat': 'uniform'}",500p,0,6,11,18,54,40.41463414634146,37.0,"[[ 4 57 68 ...  6 43 46]
 [57  4 68 ...  6 43 46]
 [ 4 57 68 ... 44 46 43]
 ...
 [57 59  8 ... 64 43 46]
 [57 59 68 ... 64 43 46]
 [57 59 68 ... 64 43 46]]","[[21 47 10 ... 63 59 49]
 [22 48 10 ... 61 56 47]
 [19 46 11 ... 63 60 48]
 ...
 [21 53 14 ... 66 59 38]
 [18 53 14 ... 70 60 40]
 [21 51  9 ... 77 63 42]]","[21 48 11 17  3 10 79  9  3 22 43 24 65 66 21 35  7 52 33 24 35 64 36 36
 21 34 75 15 27 33 34 75 74 70  5 70 71 67 33 27 33 27 41 80 79 21 81 46
 40 69 75 67 17 22 60 53 46  3 47 15  4 22 13 43 73 34 57 58  1  2 21 62
 55  8 54 46  6 42 46 66 60 42]","[68 69 57  4  8 60 34 76 16 73  7  5  2 62 27 59 52  3 14 45 24  0 70  9
 61 53 11 19 41 28 39 38 40 18 29 30 65 25 15 20 22 23 48 42 81 77 10 63
 47 78 56 75 58  1 17 55 74 72 66 67 54 80 71 21 12 79 13 51 37 49 33 35
 36 64 32 26 31 50 44  6 43 46]"
ClipVLM,"{'path': 'openai/clip-vit-base-patch32', 'num_frames': 3, 'sample_strat': 'uniform'}",500p,1,5,9,19,52,40.5,39.5,"[[68 69 57 ... 64 43 46]
 [68 69  4 ...  6 43 46]
 [69 68  4 ...  6 43 46]
 ...
 [57 59 68 ... 64 43 46]
 [57 59 69 ... 64 43 46]
 [57 59 69 ... 64 43 46]]","[[24 46 12 ... 61 58 49]
 [24 48 11 ... 61 53 47]
 [23 46 12 ... 64 59 47]
 ...
 [22 55 16 ... 67 59 37]
 [20 53 17 ... 74 62 40]
 [22 52 15 ... 77 63 36]]","[24 48 12 21  3 13 79 10  3 21 42 22 62 65 21 35  8 55 40 24 35 61 37 42
 18 32 74 17 27 28 31 73 70 70 12 66 68 67 32 27 51 25 40 80 79 22 81 45
 36 67 76 66 21 22 62 52 46  6 47 17  3 19 14 42 70 31 56 58  0  1 19 62
 55  7 54 46  8 43 50 67 62 36]","[68 69 60  8  4 57 73 76 16  7 34  2  5 62 27 59 24 70 61  9  3 14 52 53
 45 11  0 19 41 28 39 29 30 65 25 38 20 15 48 81 22 42 18 10 63 23 77 47
 75 56 58  1 78 40 55 74 72 17 66 67 21 71 12 54 80 13 35 51 49 37 79 36
 32 64 33 31 26 50 44  6 43 46]"
ClipVLM,"{'path': 'openai/clip-vit-base-patch32', 'num_frames': 4, 'sample_strat': 'uniform'}",500p,1,4,9,19,52,40.78048780487805,38.5,"[[68 57  4 ...  6 43 46]
 [68 57  4 ...  6 43 46]
 [68  4 57 ...  6 43 46]
 ...
 [57 59 68 ... 64 43 46]
 [57 59 68 ... 40 43 46]
 [57 59 68 ... 64 43 46]]","[[24 47 12 ... 61 58 48]
 [22 48 11 ... 61 57 46]
 [22 46 11 ... 62 59 47]
 ...
 [23 54 17 ... 68 61 36]
 [21 54 16 ... 70 63 36]
 [21 52 11 ... 75 64 38]]","[24 48 11 20  7 14 79  9  4 20 44 24 63 64 21 35  8 54 39 21 35 60 36 41
 17 33 74 16 26 29 35 74 73 71 10 66 65 66 33 26 59 26 36 80 79 22 81 42
 37 69 76 67 18 22 62 54 47  6 43 16  3 21 17 41 73 35 58 58  0  1 19 61
 55  6 54 47 10 43 54 68 63 38]","[68 69 60  8 57 73  4 16  7 76 34  2  5 27 59 62 24 52 70  9  3 14 19 61
 45 53 11  0 41 39 28 29 25 38 30 65 15 20 22 42 48 81 18 23 63 47 77 58
 10 75 56  1 17 55 78 74 72 67 66 40 21 71 54 12 80 13 36 37 35 51 79 49
 33 32 64 26 31 50 44  6 43 46]"
ClipVLM,"{'path': 'openai/clip-vit-base-patch32', 'num_frames': 6, 'sample_strat': 'uniform'}",500p,1,5,10,18,52,40.51219512195122,39.0,"[[68  4 57 ... 64 43 46]
 [68  4 57 ...  6 43 46]
 [68  4 57 ... 44 43 46]
 ...
 [57 59 68 ... 64 43 46]
 [57 59 68 ... 64 43 46]
 [57 59 68 ... 64 43 46]]","[[20 47 11 ... 63 60 48]
 [23 48 11 ... 61 59 46]
 [21 46 11 ... 62 60 47]
 ...
 [23 54 16 ... 68 63 38]
 [18 54 15 ... 69 62 36]
 [20 53 12 ... 75 64 39]]","[20 48 11 21  4 12 79  9  5 22 41 23 60 64 21 35  4 54 38 23 35 62 36 38
 18 34 74 17 26 28 34 73 73 70  9 68 67 66 34 25 50 31 37 80 79 22 81 44
 38 68 75 66 18 23 63 52 46  5 41 15  3 20 13 41 72 36 58 58  0  2 21 62
 55  8 55 47 11 42 52 68 62 39]","[68 69 60 16  4  8 57 73 34  7 76  2  5 62 59 27 52 24 61  0 14  3 70 45
  9 53 19 11 39 28 29 41 38 25 30 20 15 65 22 42 48 18 23 81 63 58 10 77
 47 56 75  1 40 55 78 17 72 74 67 66 12 71 21 80 54 13 51 37 36 35 79 49
 33 64 31 32 26 50  6 44 43 46]"
ClipVLM,"{'path': 'openai/clip-vit-base-patch32', 'num_frames': 8, 'sample_strat': 'uniform'}",500p,1,5,10,19,53,40.573170731707314,40.0,"[[68  4 57 ... 64 43 46]
 [68 57  4 ...  6 43 46]
 [68  4 57 ...  6 43 46]
 ...
 [59 57 68 ... 64 43 46]
 [59 57 68 ... 64 43 46]
 [59 57 68 ... 64 43 46]]","[[20 47 11 ... 62 58 48]
 [23 48 11 ... 61 54 46]
 [22 46 11 ... 62 59 47]
 ...
 [21 54 15 ... 69 62 39]
 [18 53 16 ... 70 61 38]
 [19 53 14 ... 76 64 40]]","[20 48 11 21  4 14 79 10  4 22 43 22 61 63 21 36  7 56 40 24 35 63 36 41
 17 34 75 17 27 29 32 73 73 70  6 67 68 66 33 25 47 27 38 80 79 22 81 44
 36 68 75 67 18 23 64 52 46  6 45 13  3 21 16 40 71 36 57 58  0  1 18 62
 54  8 55 47  9 43 52 69 61 40]","[68 69 60  4  8 57 34 16 73 76  7  2 59  5 62 27 24 70 52  0 61  3 14 45
 11  9 53 19 39 41 28 29 30 38 25 20 22 48 65 15 42 63 81 18 23 77 10 47
 58 56 40 75  1 55 78 72 74 17 66 67 80 12 71 13 21 54 37 35 51 49 36 79
 33 64 31 32 26 50  6 44 43 46]"
ClipVLM,"{'path': 'openai/clip-vit-base-patch32', 'num_frames': 10, 'sample_strat': 'uniform'}",500p,1,5,11,18,52,40.64634146341464,39.5,"[[68 57  4 ... 64 43 46]
 [68 57  4 ...  6 43 46]
 [68  4 57 ...  6 43 46]
 ...
 [57 59 68 ... 64 43 46]
 [57 59 68 ... 64 43 46]
 [57 59 68 ... 64 43 46]]","[[24 47 11 ... 61 58 48]
 [23 48 11 ... 61 55 47]
 [22 46 11 ... 62 59 47]
 ...
 [21 54 16 ... 68 62 37]
 [19 54 16 ... 70 61 38]
 [20 53 14 ... 75 64 42]]","[24 48 11 22  4 14 79  9  3 22 41 22 63 64 22 35  7 56 38 25 35 62 36 41
 17 34 74 16 27 30 32 74 72 70  6 66 68 67 34 25 55 25 39 80 79 22 81 44
 36 68 75 66 16 23 63 52 46  5 46 15  3 20 14 41 70 33 58 58  0  1 20 62
 55  8 55 47  9 43 52 68 61 42]","[68 69  8 60  4 57 34 16 73 76  7  2 62  5 59 27 52 24 61 70 14 11  9  3
 45 53  0 19 41 39 28 29 30 65 38 25 15 20 48 22 18 42 10 23 63 81 77 47
 58 56 75  1 78 55 40 72 74 17 66 67 80 21 71 12 54 13 35 51 37 79 36 49
 64 33 32 26 31 50 44  6 43 46]"
